timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
31292,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31293,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31294,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31295,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31296,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31297,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31298,bigdata_main,26,0,0,26,18,0,241,160,3252,0,624,624,320,NA
31299,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31300,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31301,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31302,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31303,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31304,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31305,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31306,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31307,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31308,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31309,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31310,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31311,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31312,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31313,bigdata_main,26,0,0,26,18,0,242,159,3253,0,624,624,318,NA
31314,bigdata_main,26,0,0,26,18,0,242,158,3254,0,624,624,316,NA
31315,bigdata_main,26,0,0,26,18,0,242,158,3254,0,624,624,316,NA
31316,bigdata_main,26,0,0,26,18,0,242,157,3255,0,624,624,314,NA
31317,bigdata_main,26,0,0,26,18,0,242,155,3257,0,624,624,310,NA
31318,bigdata_main,26,0,0,26,18,0,242,154,3258,0,624,624,308,NA
31319,bigdata_main,26,0,0,26,18,0,242,149,3263,0,624,624,298,NA
31320,bigdata_main,26,0,0,26,18,0,242,147,3265,0,624,624,294,NA
31321,bigdata_main,26,0,0,26,18,0,242,147,3265,0,624,624,294,NA
31322,bigdata_main,26,0,0,26,18,0,242,147,3265,0,624,624,294,NA
31323,bigdata_main,26,0,0,26,18,0,242,145,3267,0,624,624,290,NA
31324,bigdata_main,26,0,0,26,18,0,242,144,3268,0,624,624,288,NA
31325,bigdata_main,26,0,0,26,18,0,242,144,3268,0,624,624,288,NA
31326,bigdata_main,26,0,0,26,18,0,242,143,3269,0,624,624,286,NA
31327,bigdata_main,26,0,0,26,18,0,242,143,3269,0,624,624,286,NA
31328,bigdata_main,26,0,0,26,18,0,242,143,3269,0,624,624,286,NA
31329,bigdata_main,26,0,0,26,18,0,242,143,3269,0,624,624,286,NA
31330,bigdata_main,26,0,0,26,18,0,242,143,3269,0,624,624,286,NA
31331,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31332,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31333,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31334,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31335,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31336,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31337,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31338,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31339,bigdata_main,26,0,0,26,18,0,242,142,3270,0,624,624,284,NA
31340,bigdata_main,26,0,0,26,18,0,244,142,3270,0,624,624,284,NA
31341,bigdata_main,26,0,0,26,18,0,244,142,3270,0,624,624,284,NA
31342,bigdata_main,26,0,0,26,18,0,244,142,3270,0,624,624,284,NA
31343,bigdata_main,26,0,0,26,18,0,244,142,3270,0,624,624,284,NA
31344,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31345,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31346,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31347,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31348,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31349,bigdata_main,26,0,0,26,18,0,244,140,3272,0,624,624,280,NA
31350,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31351,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31352,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31353,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31354,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31355,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31356,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31357,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31358,bigdata_main,26,0,0,26,18,0,245,140,3272,0,624,624,280,NA
31359,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
31360,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
31361,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
31362,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
31363,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
31364,bigdata_main,26,0,0,26,18,0,245,139,3273,0,624,624,278,NA
