trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,1073,379,2,1989_3,sim,0,1073,1452,1452,379,bigdata_main_node_07
trace,1073,379,2,1991_1,sim,0,1073,1452,1452,379,bigdata_main_node_08
trace,1073,379,2,1991_3,sim,0,1073,1452,1452,379,bigdata_main_node_08
trace,1073,379,2,1991_4,sim,0,1073,1452,1452,379,bigdata_main_node_08
trace,1073,380,2,1986_2,sim,0,1073,1453,1453,380,bigdata_main_node_07
trace,1073,380,2,1986_3,sim,0,1073,1453,1453,380,bigdata_main_node_07
trace,1073,381,2,1989_2,sim,0,1073,1454,1454,381,bigdata_main_node_07
trace,1073,381,2,1989_4,sim,0,1073,1454,1454,381,bigdata_main_node_08
trace,1073,381,2,1991_2,sim,0,1073,1454,1454,381,bigdata_main_node_08
trace,1335,237,2,2612_1,sim,0,1335,1572,1572,237,bigdata_main_node_05
trace,1346,235,2,2634_1,sim,0,1346,1581,1581,235,bigdata_main_node_02
trace,1199,383,2,2237_1,sim,0,1199,1582,1582,383,bigdata_main_node_05
trace,1384,203,2,2693_1,sim,0,1384,1587,1587,203,bigdata_main_node_02
trace,1391,197,2,2712_2,sim,0,1391,1588,1588,197,bigdata_main_node_02
trace,1394,194,2,2750_1,sim,0,1394,1588,1588,194,bigdata_main_node_01
trace,1396,194,2,2750_2,sim,0,1396,1590,1590,194,bigdata_main_node_01
trace,1382,209,2,2693_2,sim,0,1382,1591,1591,209,bigdata_main_node_02
trace,1392,202,2,2712_1,sim,0,1392,1594,1594,202,bigdata_main_node_01
trace,1426,188,2,2839_2,sim,0,1426,1614,1614,188,bigdata_main_node_09
trace,1427,189,2,2839_1,sim,0,1427,1616,1616,189,bigdata_main_node_09
trace,1220,397,2,2334_1,sim,0,1220,1617,1617,397,bigdata_main_node_06
trace,1399,239,2,2757_2,sim,0,1399,1638,1638,239,bigdata_main_node_01
trace,1399,244,2,2757_1,sim,0,1399,1643,1643,244,bigdata_main_node_01
trace,1401,255,2,2767_2,sim,0,1401,1656,1656,255,bigdata_main_node_08
trace,1401,256,2,2767_1,sim,0,1401,1657,1657,256,bigdata_main_node_08
trace,810,848,2,1660_1,sim,0,810,1658,1658,848,bigdata_main_node_03
trace,1424,251,2,2835_1,sim,0,1424,1675,1675,251,bigdata_main_node_09
trace,1422,257,2,2835_2,sim,0,1422,1679,1679,257,bigdata_main_node_09
trace,1385,299,2,2698_1,sim,0,1385,1684,1684,299,bigdata_main_node_02
trace,1385,302,2,2698_2,sim,0,1385,1687,1687,302,bigdata_main_node_02
trace,1392,298,2,2739_1,sim,0,1392,1690,1690,298,bigdata_main_node_01
trace,1392,298,2,2739_2,sim,0,1392,1690,1690,298,bigdata_main_node_01
trace,1272,431,2,2428_1,sim,0,1272,1703,1703,431,bigdata_main_node_05
trace,1401,313,2,2770_1,sim,0,1401,1714,1714,313,bigdata_main_node_08
trace,1402,314,2,2770_2,sim,0,1402,1716,1716,314,bigdata_main_node_08
trace,1414,310,2,2819_1,sim,0,1414,1724,1724,310,bigdata_main_node_08
trace,1524,209,2,2949_2,sim,0,1524,1733,1733,209,bigdata_main_node_08
trace,1402,332,2,2773_1,sim,0,1402,1734,1734,332,bigdata_main_node_08
trace,1523,212,2,2949_1,sim,0,1523,1735,1735,212,bigdata_main_node_08
trace,1404,332,2,2773_2,sim,0,1404,1736,1736,332,bigdata_main_node_08
trace,1438,328,2,2856_1,sim,0,1438,1766,1766,328,bigdata_main_node_09
trace,1420,353,2,2822_1,sim,0,1420,1773,1773,353,bigdata_main_node_09
trace,1443,337,2,2862_1,sim,0,1443,1780,1780,337,bigdata_main_node_05
trace,1459,332,2,2878_1,sim,0,1459,1791,1791,332,bigdata_main_node_01
trace,1420,377,2,2825_1,sim,0,1420,1797,1797,377,bigdata_main_node_09
