start_time,lifespan,cores,job_id
9032,27897,1,10886_2
9034,705,1,10893_1
9050,302,1,10913_1
9050,323,1,10915_1
9050,396,1,10918_1
9050,476,1,10921_1
9051,479,1,10934_1
9051,2753,1,10936_1
9051,2753,1,10936_2
9051,2753,1,10936_3
9051,2753,1,10936_4
9051,2753,1,10936_5
9051,2753,1,10936_6
9051,2753,1,10936_7
9051,2753,1,10936_8
9051,2753,1,10936_9
9051,2753,1,10936_10
9051,2753,1,10936_11
9051,2753,1,10936_12
9056,2696,1,10939_1
9056,2696,1,10939_2
9056,2696,1,10939_3
9056,2696,1,10939_4
9056,2696,1,10939_5
9056,2696,1,10939_6
9056,2696,1,10939_7
9056,2696,1,10939_8
9056,2696,1,10939_9
9056,2696,1,10939_10
9056,2696,1,10939_11
9056,2696,1,10939_12
9061,1324,1,10943_1
9061,1324,1,10943_2
9068,180,1,10950_1
9068,180,1,10950_2
9068,180,1,10950_3
9074,225,1,10954_1
9083,423,1,10985_1
9083,435,1,10987_1
9094,6031,1,11024_1
9094,6031,1,11024_2
9094,6031,1,11024_3
9094,6031,1,11024_4
9098,301,1,11028_1
9102,272,1,11030_1
9102,272,1,11030_2
9102,272,1,11030_3
9102,272,1,11030_4
9117,1072,1,11060_1
9117,1072,1,11060_2
9121,362,1,11065_1
9121,943,1,11070_1
9121,943,1,11070_2
9132,1246,1,11085_1
9152,255,1,11126_1
9161,1206,1,11141_1
9161,1206,1,11141_2
9185,371,1,11190_1
9185,400,1,11192_1
9185,785,1,11195_1
9185,785,1,11195_2
9187,793,1,11198_1
9187,793,1,11198_2
9196,313,1,11282_1
9201,194,1,11313_1
9213,509,1,11326_1
9213,509,1,11326_2
9213,565,1,11329_1
9213,565,1,11329_2
9214,266,1,11334_1
9214,338,1,11337_1
9217,2486,1,11341_1
9217,2486,1,11341_2
9217,2486,1,11341_3
9220,844,1,11343_1
9220,844,1,11343_2
9223,410,1,11346_1
9235,1277,1,11365_1
9235,1277,1,11365_2
9252,247,1,11377_1
9252,331,1,11380_1
9252,376,1,11383_1
9253,182,1,11385_1
9264,313,1,11394_1
9264,354,1,11396_1
9264,415,1,11399_1
