trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,3181,388,6,153.0,sim,0,3331,3719,3719,388,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,3224,267,6,157.0,sim,0,3508,3775,3775,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,3256,267,1,160.0,sim,0,3538,3805,3805,267,'[''hpc_main_node_31'']'
trace,3268,267,1,161.0,sim,0,3538,3805,3805,267,'[''hpc_main_node_42'']'
trace,3279,267,1,162.0,sim,0,3538,3805,3805,267,'[''hpc_main_node_09'']'
trace,3771,68,1,166.0,sim,0,3771,3839,3839,68,'[''hpc_main_node_17'']'
trace,3751,89,1,164.0,sim,0,3751,3840,3840,89,'[''hpc_main_node_03'']'
trace,3761,79,1,165.0,sim,0,3761,3840,3840,79,'[''hpc_main_node_11'']'
trace,3235,507,3,158.0,sim,0,3538,4045,4045,507,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'']'
trace,4161,249,6,168.0,sim,0,4161,4410,4410,249,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,4172,268,6,169.0,sim,0,4172,4440,4440,268,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,4183,257,6,170.0,sim,0,4183,4440,4440,257,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,4216,253,6,173.0,sim,0,4216,4469,4469,253,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
