trace,arrival,lifespan,cores,ram,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,9066,3024.0,1.0,2.0,229.0,sim,0,9066,12090.0,12090,3024,cloud50_node_01
trace,9074,3018.0,4.0,7.0,230.0,sim,0,9074,12092.0,12092,3018,cloud50_node_01
trace,9041,3063.0,2.0,3.5,224.0,sim,0,9041,12104.0,12104,3063,cloud50_node_01
trace,9050,3054.0,8.0,14.0,226.0,sim,0,9050,12104.0,12104,3054,cloud50_node_01
trace,8985,3122.0,1.0,2.0,214.0,sim,0,8985,12107.0,12107,3122,cloud50_node_04
trace,9057,3050.0,1.0,2.0,227.0,sim,0,9057,12107.0,12107,3050,cloud50_node_01
trace,9017,3092.0,8.0,14.0,220.0,sim,0,9017,12109.0,12109,3092,cloud50_node_02
trace,9001,3110.0,4.0,7.0,217.0,sim,0,9001,12111.0,12111,3110,cloud50_node_02
trace,9025,3086.0,4.0,7.0,221.0,sim,0,9025,12111.0,12111,3086,cloud50_node_02
trace,8993,3121.0,1.0,2.0,215.0,sim,0,8993,12114.0,12114,3121,cloud50_node_04
trace,8953,3166.0,2.0,3.5,208.0,sim,0,8953,12119.0,12119,3166,cloud50_node_14
trace,9010,3109.0,1.0,2.0,218.0,sim,0,9010,12119.0,12119,3109,cloud50_node_04
trace,9033,3086.0,2.0,3.5,223.0,sim,0,9033,12119.0,12119,3086,cloud50_node_01
trace,8969,3152.0,1.0,2.0,211.0,sim,0,8969,12121.0,12121,3152,cloud50_node_04
trace,8961,3163.0,1.0,2.0,209.0,sim,0,8961,12124.0,12124,3163,cloud50_node_04
trace,8977,3151.0,1.0,2.0,212.0,sim,0,8977,12128.0,12128,3151,cloud50_node_04
trace,8945,3187.0,2.0,3.5,206.0,sim,0,8945,12132.0,12132,3187,cloud50_node_14
trace,9779,2893.0,8.0,14.0,250.0,sim,0,9779,12672.0,12672,2893,cloud50_node_09
trace,9803,2870.0,4.0,7.0,254.0,sim,0,9803,12673.0,12673,2870,cloud50_node_09
trace,9769,2905.0,2.0,3.5,248.0,sim,0,9769,12674.0,12674,2905,cloud50_node_04
trace,9762,2918.0,4.0,7.0,247.0,sim,0,9762,12680.0,12680,2918,cloud50_node_04
trace,9787,2893.0,1.0,2.0,251.0,sim,0,9787,12680.0,12680,2893,cloud50_node_09
trace,9706,2977.0,1.0,2.0,236.0,sim,0,9706,12683.0,12683,2977,cloud50_node_01
trace,9795,2888.0,2.0,3.5,253.0,sim,0,9795,12683.0,12683,2888,cloud50_node_09
trace,9714,2972.0,1.0,2.0,238.0,sim,0,9714,12686.0,12686,2972,cloud50_node_12
trace,9746,2941.0,8.0,14.0,244.0,sim,0,9746,12687.0,12687,2941,cloud50_node_04
trace,9698,2990.0,2.0,3.5,235.0,sim,0,9698,12688.0,12688,2990,cloud50_node_12
trace,9722,2966.0,2.0,3.5,239.0,sim,0,9722,12688.0,12688,2966,cloud50_node_12
trace,9731,2959.0,1.0,2.0,241.0,sim,0,9731,12690.0,12690,2959,cloud50_node_12
trace,9754,2936.0,1.0,2.0,245.0,sim,0,9754,12690.0,12690,2936,cloud50_node_12
trace,9738,2955.0,4.0,7.0,242.0,sim,0,9738,12693.0,12693,2955,cloud50_node_04
trace,9682,3013.0,1.0,2.0,232.0,sim,0,9682,12695.0,12695,3013,cloud50_node_01
trace,9690,3008.0,8.0,14.0,233.0,sim,0,9690,12698.0,12698,3008,cloud50_node_12
trace,10427,2808.0,8.0,14.0,259.0,sim,0,10427,13235.0,13235,2808,cloud50_node_12
trace,10411,2843.0,1.0,2.0,256.0,sim,0,10411,13254.0,13254,2843,cloud50_node_16
trace,10419,2839.0,4.0,7.0,257.0,sim,0,10419,13258.0,13258,2839,cloud50_node_09
trace,10537,2808.0,2.0,3.5,280.0,sim,0,10537,13345.0,13345,2808,cloud50_node_10
trace,10521,2827.0,4.0,7.0,277.0,sim,0,10521,13348.0,13348,2827,cloud50_node_13
trace,10529,2828.0,8.0,14.0,278.0,sim,0,10529,13357.0,13357,2828,cloud50_node_08
trace,10513,2863.0,1.0,2.0,275.0,sim,0,10513,13376.0,13376,2863,cloud50_node_10
trace,10506,2874.0,8.0,14.0,274.0,sim,0,10506,13380.0,13380,2874,cloud50_node_10
