timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
33714,49,49,0,0,0,0,416,0,0
33725,49,49,0,0,0,0,416,0,0
33736,49,49,0,0,0,0,416,0,0
33747,49,49,0,0,0,0,416,0,0
33757,49,49,0,0,0,0,416,0,0
33768,49,49,0,0,0,0,416,0,0
33779,49,49,0,0,0,0,416,0,0
33789,49,49,0,0,0,0,416,0,0
33800,49,49,0,0,0,0,416,0,0
33811,49,49,0,0,0,0,416,0,0
33821,49,49,0,0,0,0,416,0,0
33832,49,49,0,0,0,0,416,0,0
33843,49,49,0,0,0,0,416,0,0
33854,49,49,0,0,0,0,416,0,0
33864,49,49,0,0,0,0,416,0,0
33875,49,49,0,0,0,0,416,0,0
33886,49,49,0,0,0,0,416,0,0
33896,49,49,0,0,0,0,416,0,0
33907,49,49,0,0,0,0,416,0,0
33918,49,49,0,0,0,0,416,0,0
33929,49,49,0,0,0,0,416,0,0
33940,49,49,0,0,0,0,416,0,0
33950,49,49,0,0,0,0,416,0,0
33961,49,49,0,0,0,0,416,0,0
33972,49,49,0,0,0,0,416,0,0
33983,49,49,0,0,0,0,416,0,0
33993,49,49,0,0,0,0,416,0,0
34004,49,49,0,0,0,0,416,0,0
34015,49,49,0,0,0,0,416,0,0
34026,49,49,0,0,0,0,416,0,0
34036,49,49,0,0,0,0,416,0,0
34047,49,49,0,0,0,0,416,0,0
34058,49,49,0,0,0,0,416,0,0
34068,49,49,0,0,0,0,416,0,0
34079,49,49,0,0,0,0,416,0,0
34090,49,49,0,0,0,0,416,0,0
34101,49,49,0,0,0,0,416,0,0
34112,49,49,0,0,0,0,416,0,0
34123,49,49,0,0,0,0,416,0,0
34133,49,49,0,0,0,0,416,0,0
34144,49,49,0,0,0,0,416,0,0
34155,49,49,0,0,0,0,416,0,0
34166,49,49,0,0,0,0,416,0,0
34177,49,49,0,0,0,0,416,0,0
34187,49,49,0,0,0,0,416,0,0
34198,49,49,0,0,0,0,416,0,0
34209,49,49,0,0,0,0,416,0,0
34220,49,49,0,0,0,0,416,0,0
34230,49,49,0,0,0,0,416,0,0
34241,49,49,0,0,0,0,416,0,0
34252,49,49,0,0,0,0,416,0,0
34262,49,49,0,0,0,0,416,0,0
34273,49,49,0,0,0,0,416,0,0
34284,49,49,0,0,0,0,416,0,0
34295,49,49,0,0,0,0,416,0,0
34305,49,49,0,0,0,0,416,0,0
34316,49,49,0,0,0,0,416,0,0
34327,49,49,0,0,0,0,416,0,0
34338,49,49,0,0,0,0,416,0,0
34348,49,49,0,0,0,0,416,0,0
34359,49,49,0,0,0,0,416,0,0
34370,49,49,0,0,0,0,416,0,0
34381,49,49,0,0,0,0,416,0,0
34391,49,49,0,0,0,0,416,0,0
34402,49,49,0,0,0,0,416,0,0
34413,49,49,0,0,0,0,416,0,0
34423,49,49,0,0,0,0,416,0,0
34434,49,49,0,0,0,0,416,0,0
34445,49,49,0,0,0,0,416,0,0
34456,49,49,0,0,0,0,416,0,0
34467,49,49,0,0,0,0,416,0,0
34477,49,49,0,0,0,0,416,0,0
34488,49,49,0,0,0,0,416,0,0
34499,49,49,0,0,0,0,416,0,0
34510,49,49,0,0,0,0,416,0,0
34521,49,49,0,0,0,0,416,0,0
34531,49,49,0,0,0,0,416,0,0
34542,49,49,0,0,0,0,416,0,0
34553,49,49,0,0,0,0,416,0,0
34563,49,49,0,0,0,0,416,0,0
34574,49,49,0,0,0,0,416,0,0
34585,49,49,0,0,0,0,416,0,0
34596,49,49,0,0,0,0,416,0,0
34607,49,49,0,0,0,0,416,0,0
34617,49,49,0,0,0,0,416,0,0
34628,49,49,0,0,0,0,416,0,0
34639,49,49,0,0,0,0,416,0,0
34650,49,49,0,0,0,0,416,0,0
34661,49,49,0,0,0,0,416,0,0
