original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
2374,198,2,4216_1,0,2374,2,2572,198,2
2229,344,2,3979_1,0,2229,2,2573,344,2
2213,362,2,3959_1,0,2213,2,2575,362,2
1521,1060,2,2930_1,0,1521,2,2581,1060,2
2393,191,2,4249_1,0,2393,2,2584,191,2
2378,208,2,4221_1,0,2378,2,2586,208,2
2407,186,2,4268_1,0,2407,2,2593,186,2
2374,224,2,4226_1,0,2374,2,2598,224,2
2395,207,2,4254_1,0,2395,2,2602,207,2
2230,375,2,3984_1,0,2230,2,2605,375,2
2409,201,2,4277_1,0,2409,2,2610,201,2
2045,566,2,3722_1,0,2045,2,2611,566,2
2339,274,2,4128_1,0,2339,2,2613,274,2
2394,222,2,4259_1,0,2394,2,2616,222,2
2053,566,2,3724_1,0,2053,2,2619,566,2
2224,396,2,3963_1,0,2224,2,2620,396,2
2272,354,2,4038_1,0,2272,2,2626,354,2
2167,465,2,3890_1,0,2167,2,2632,465,2
1815,819,2,3393_1,0,1815,2,2634,819,2
2450,184,2,4341_1,0,2450,2,2634,184,2
2450,184,2,4347_1,0,2450,2,2634,184,2
2428,208,2,4313_1,0,2428,2,2636,208,2
1817,829,2,3395_1,0,1817,2,2646,829,2
2457,195,2,4371_1,0,2457,2,2652,195,2
2344,309,2,4148_1,0,2344,2,2653,309,2
2450,206,2,4353_1,0,2450,2,2656,206,2
2461,201,2,4376_1,0,2461,2,2662,201,2
2462,205,2,4382_1,0,2462,2,2667,205,2
2001,670,2,3643_1,0,2001,2,2671,670,2
2335,339,2,4131_1,0,2335,2,2674,339,2
2483,191,2,4418_1,0,2483,2,2674,191,2
2345,331,2,4150_1,0,2345,2,2676,331,2
2331,346,2,4117_1,0,2331,2,2677,346,2
2335,344,2,4133_1,0,2335,2,2679,344,2
2326,354,2,4108_1,0,2326,2,2680,354,2
2326,364,2,4111_1,0,2326,2,2690,364,2
2492,205,2,4439_1,0,2492,2,2697,205,2
2139,560,2,3824_1,0,2139,2,2699,560,2
2511,195,2,4475_1,0,2511,2,2706,195,2
2335,381,2,4136_1,0,2335,2,2716,381,2
2230,491,2,3966_1,0,2230,2,2721,491,2
2558,183,2,4537_1,0,2558,2,2741,183,2
2345,415,2,4153_1,0,2345,2,2760,415,2
2425,348,2,4305_1,0,2425,2,2773,348,2
2600,195,2,4610_1,0,2600,2,2795,195,2
2586,214,2,4591_1,0,2586,2,2800,214,2
2604,199,2,4603_1,0,2604,2,2803,199,2
2610,200,2,4628_1,0,2610,2,2810,200,2
2633,190,2,4653_1,0,2633,2,2823,190,2
2628,206,2,4646_1,0,2628,2,2834,206,2
2633,202,2,4659_1,0,2633,2,2835,202,2
2657,189,2,4692_1,0,2657,2,2846,189,2
2652,218,2,4674_1,0,2652,2,2870,218,2
2398,475,2,4265_1,0,2398,2,2873,475,2
2399,475,2,4265_3,0,2399,2,2874,475,2
2399,475,2,4265_4,0,2399,2,2874,475,2
2399,476,2,4265_2,0,2399,2,2875,476,2
2655,232,2,4684_1,0,2655,2,2887,232,2
2657,234,2,4697_1,0,2657,2,2891,234,2
2140,752,2,3827_1,0,2140,2,2892,752,2
2681,243,2,4738_1,0,2681,2,2924,243,2
2240,687,2,3987_1,0,2240,2,2927,687,2
2387,544,2,4233_1,0,2387,2,2931,544,2
2428,512,2,4309_1,0,2428,2,2940,512,2
2661,283,2,4705_1,0,2661,2,2944,283,2
2759,188,2,4878_1,0,2759,2,2947,188,2
2161,796,2,3860_1,0,2161,2,2957,796,2
2751,209,2,4862_1,0,2751,2,2960,209,2
2660,303,2,4708_1,0,2660,2,2963,303,2
2681,288,2,4743_1,0,2681,2,2969,288,2
2722,249,2,4780_1,0,2722,2,2971,249,2
2213,764,2,3954_1,0,2213,2,2977,764,2
2583,400,2,4574_1,0,2583,2,2983,400,2
2804,188,2,4924_1,0,2804,2,2992,188,2
2722,274,2,4785_1,0,2722,2,2996,274,2
2722,276,2,4812_1,0,2722,2,2998,276,2
2723,279,2,4804_1,0,2723,2,3002,279,2
2716,290,2,4790_1,0,2716,2,3006,290,2
2723,294,2,4806_1,0,2723,2,3017,294,2
2722,299,2,4793_1,0,2722,2,3021,299,2
2740,282,2,4831_1,0,2740,2,3022,282,2
2722,302,2,4796_1,0,2722,2,3024,302,2
2744,281,2,4837_1,0,2744,2,3025,281,2
2722,309,2,4798_1,0,2722,2,3031,309,2
2792,242,2,4916_1,0,2792,2,3034,242,2
2240,799,2,3989_1,0,2240,2,3039,799,2
2759,287,2,4883_1,0,2759,2,3046,287,2
2140,915,2,3830_1,0,2140,2,3055,915,2
2228,833,2,3968_1,0,2228,2,3061,833,2
