timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
179,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,210504,4296,0
180,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,211680,4320,0
181,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,212856,4344,0
182,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,214032,4368,0
183,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,215208,4392,0
184,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,216384,4416,0
185,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,217560,4440,0
186,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,218736,4464,0
187,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,219912,4488,0
188,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,221088,4512,0
189,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,222264,4536,0
190,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,223440,4560,0
191,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,224616,4584,0
192,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,225792,4608,0
193,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,226968,4632,0
194,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,228144,4656,0
195,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,229320,4680,0
196,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,230496,4704,0
197,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,231672,4728,0
198,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,232848,4752,0
199,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,234024,4776,0
200,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,235200,4800,0
201,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,236376,4824,0
202,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,237552,4848,0
203,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,238728,4872,0
204,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,239904,4896,0
205,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,241080,4920,0
206,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,242256,4944,0
207,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,243432,4968,0
208,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,244608,4992,0
209,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,245784,5016,0
210,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,246960,5040,0
211,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,248136,5064,0
212,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,249312,5088,0
213,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,250488,5112,0
214,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,251664,5136,0
215,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,252840,5160,0
216,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,254016,5184,0
217,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,255192,5208,0
218,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,256368,5232,0
219,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,257544,5256,0
220,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,258720,5280,0
221,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,259896,5304,0
222,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,261072,5328,0
223,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,262248,5352,0
224,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,263424,5376,0
225,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,264600,5400,0
226,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,265776,5424,0
227,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,266952,5448,0
228,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,268128,5472,0
229,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,269304,5496,0
230,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,270480,5520,0
231,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,271656,5544,0
232,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,272832,5568,0
233,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,274008,5592,0
234,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,275184,5616,0
235,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,276360,5640,0
236,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,277536,5664,0
237,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,278712,5688,0
238,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,279888,5712,0
239,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,281064,5736,0
240,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,282240,5760,0
241,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,283416,5784,0
242,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,284592,5808,0
243,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,285768,5832,0
244,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,286944,5856,0
245,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,288120,5880,0
246,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,289296,5904,0
247,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,290472,5928,0
248,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,291648,5952,0
249,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,292824,5976,0
250,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,294000,6000,0
251,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,295176,6024,0
252,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,296352,6048,0
253,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,297528,6072,0
254,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,298704,6096,0
255,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,299880,6120,0
256,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,301056,6144,0
257,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,302232,6168,0
258,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,303408,6192,0
259,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,304584,6216,0
260,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,305760,6240,0
261,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,306936,6264,0
262,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,308112,6288,0
263,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,309288,6312,0
264,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,310464,6336,0
265,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,311640,6360,0
266,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,312816,6384,0
267,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,313992,6408,0
268,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,315168,6432,0
269,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,316344,6456,0
270,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,317520,6480,0
271,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,318696,6504,0
272,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,319872,6528,0
273,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,321048,6552,0
274,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,322224,6576,0
275,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,323400,6600,0
276,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,324576,6624,0
277,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,325752,6648,0
278,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,326928,6672,0
279,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,328104,6696,0
280,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,329280,6720,0
281,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,330456,6744,0
282,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,331632,6768,0
283,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,332808,6792,0
284,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,333984,6816,0
285,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,335160,6840,0
286,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,336336,6864,0
287,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,337512,6888,0
288,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,338688,6912,0
289,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,339864,6936,0
290,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,341040,6960,0
291,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,342216,6984,0
292,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,343392,7008,0
293,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,344568,7032,0
294,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,345744,7056,0
295,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,346920,7080,0
296,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,348096,7104,0
297,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,349272,7128,0
298,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,350448,7152,0
299,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,351624,7176,0
300,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,352800,7200,0
301,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,353976,7224,0
302,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,355152,7248,0
303,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,356328,7272,0
304,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,357504,7296,0
305,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,358680,7320,0
306,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,359856,7344,0
307,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,361032,7368,0
308,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,362208,7392,0
309,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,363384,7416,0
310,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,364560,7440,0
311,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,365736,7464,0
312,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,366912,7488,0
313,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,368088,7512,0
314,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,369264,7536,0
315,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,370440,7560,0
316,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,371616,7584,0
317,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,372792,7608,0
318,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,373968,7632,0
319,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,375144,7656,0
320,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,376320,7680,0
321,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,377496,7704,0
322,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,378672,7728,0
323,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,379848,7752,0
324,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,381024,7776,0
