timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
24124,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11579520,1133828.0,3179616.0
24125,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11580000,1133875.0,3179616.0
24126,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11580480,1133922.0,3179616.0
24127,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11580960,1133969.0,3179616.0
24128,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11581440,1134016.0,3179616.0
24129,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11581920,1134063.0,3179616.0
24130,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11582400,1134110.0,3179616.0
24131,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11582880,1134157.0,3179616.0
24132,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11583360,1134204.0,3179616.0
24133,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11583840,1134251.0,3179616.0
24134,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11584320,1134298.0,3179616.0
24135,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11584800,1134345.0,3179616.0
24136,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11585280,1134392.0,3179616.0
24137,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11585760,1134439.0,3179616.0
24138,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11586240,1134486.0,3179616.0
24139,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11586720,1134533.0,3179616.0
24140,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11587200,1134580.0,3179616.0
24141,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11587680,1134627.0,3179616.0
24142,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11588160,1134674.0,3179616.0
24143,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11588640,1134721.0,3179616.0
24144,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11589120,1134768.0,3179616.0
24145,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11589600,1134815.0,3179616.0
24146,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11590080,1134862.0,3179616.0
24147,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11590560,1134909.0,3179616.0
24148,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11591040,1134956.0,3179616.0
24149,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11591520,1135003.0,3179616.0
24150,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11592000,1135050.0,3179616.0
24151,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11592480,1135097.0,3179616.0
24152,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11592960,1135144.0,3179616.0
24153,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11593440,1135191.0,3179616.0
24154,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11593920,1135238.0,3179616.0
24155,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11594400,1135285.0,3179616.0
24156,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11594880,1135332.0,3179616.0
24157,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11595360,1135379.0,3179616.0
24158,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11595840,1135426.0,3179616.0
24159,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11596320,1135473.0,3179616.0
24160,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11596800,1135520.0,3179616.0
24161,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11597280,1135567.0,3179616.0
24162,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11597760,1135614.0,3179616.0
24163,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11598240,1135661.0,3179616.0
24164,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11598720,1135708.0,3179616.0
24165,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11599200,1135755.0,3179616.0
24166,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11599680,1135802.0,3179616.0
24167,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11600160,1135849.0,3179616.0
24168,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11600640,1135896.0,3179616.0
24169,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11601120,1135943.0,3179616.0
24170,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11601600,1135990.0,3179616.0
24171,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11602080,1136037.0,3179616.0
24172,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11602560,1136084.0,3179616.0
24173,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11603040,1136131.0,3179616.0
24174,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11603520,1136178.0,3179616.0
24175,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11604000,1136225.0,3179616.0
24176,cloud50,20,20,2,12,480,480,47.0,280,106,14,431,11604480,1136272.0,3179616.0
